,Species Name,Date,Area,Location,Latitude,Longitude,Length (m),Water Temp (C),Month,Day of Week
221,LONG NOSE WHALER,1/12/2016,Sunshine Coast North,Noosa,-26°22.69,153°5.58,1.38,24,December,Thursday
222,LONG NOSE WHALER,24/12/2016,Sunshine Coast South & Bribie Island,Caloundra,-26°48.41,153°8.81,1.4,24,December,Saturday
223,MAKO,19/7/2016,Gold Coast,Burleigh Beach,-28°4.58,153°27.29,1.83,20,July,Tuesday
224,MAKO,8/8/2016,Gold Coast,Miami Beach,-28°4,153°27.04,2.3,20,August,Monday
225,MAKO,11/8/2016,Nth Stradbroke Is.,Ocean Beach,-27°26.76,153°32.71,3,20,August,Thursday
226,MAKO,9/9/2016,Rainbow Beach,Rainbow Beach,-25°53.62,153°5.69,2.02,20,September,Friday
227,MAKO,4/10/2016,Sunshine Coast North,Sunshine Beach,-26°24.31,153°7.06,3.34,23,October,Tuesday
228,MILK SHARK,1/1/2016,Townsville,Radical Bay,-19°6.45,146°52.51,0.8,29,January,Friday
229,MILK SHARK,17/9/2016,Cairns,Trinity Beach,-16°46.5,145°41.97,0.8,25,September,Saturday
230,MILK SHARK,22/11/2016,Townsville,Radical Bay,-19°6.47,146°52.55,0.75,28,November,Tuesday
231,PIGEYE WHALER,28/1/2016,Townsville,Horseshoe Bay,-19°6.22,146°51.57,1.5,30,January,Thursday
232,PIGEYE WHALER,4/2/2016,Bundaberg,Kellys Beach,-24°49.11,152°28.3,1.14,27,February,Thursday
233,PIGEYE WHALER,11/2/2016,Bundaberg,Bargara,-24°48.55,152°27.94,1.1,27,February,Thursday
234,PIGEYE WHALER,8/3/2016,Bundaberg,Kellys Beach,-24°49.62,152°28.26,1.46,25,March,Tuesday
235,PIGEYE WHALER,16/3/2016,Cairns,Holloways Beach,-16°49.92,145°44.94,1.3,29,March,Wednesday
236,PIGEYE WHALER,6/4/2016,Cairns,Ellis Beach,-16°43.21,145°38.85,2,27,April,Wednesday
237,PIGEYE WHALER,28/4/2016,Townsville,Radical Bay,-19°6.51,146°52.63,1.6,26,April,Thursday
238,PIGEYE WHALER,18/6/2016,Townsville,Horseshoe Bay,-19°6.13,146°51.59,2.25,24,June,Saturday
239,PIGEYE WHALER,11/9/2016,Bundaberg,Kellys Beach,-24°49.25,152°28.33,1.56,20,September,Sunday
240,PIGEYE WHALER,26/9/2016,Bundaberg,Neilson Park,-24°48.23,152°27.75,1.46,21,September,Monday
241,PIGEYE WHALER,11/10/2016,Bundaberg,Kellys Beach,-24°49.25,152°28.33,1.57,23,October,Tuesday
242,PIGEYE WHALER,5/11/2016,Cairns,Ellis Beach,-16°43.26,145°38.96,1.1,28,November,Saturday
243,PIGEYE WHALER,22/11/2016,Townsville,Radical Bay,-19°6.49,146°52.59,1.08,28,November,Tuesday
244,PIGEYE WHALER,10/12/2016,Bundaberg,Neilson Park,-24°48.09,152°27.59,1.38,25,December,Saturday
245,SANDBAR WHALER,26/3/2016,Gladstone,Tannum Sands,-23°56.68,151°22.67,1.4,27,March,Saturday
246,SANDBAR WHALER,8/6/2016,Gold Coast,Tallebudgera Beach,-28°5.47,153°28.26,1.68,22,June,Wednesday
247,SANDBAR WHALER,4/3/2016,Sunshine Coast North,Noosa,-26°22.69,153°5.58,1.75,24,March,Friday
248,SANDBAR WHALER,14/9/2016,Bundaberg,Neilson Park,-24°48.16,152°27.67,2.1,20,September,Wednesday
249,SANDBAR WHALER,24/9/2016,Bundaberg,Neilson Park,-24°48.23,152°27.75,1.38,21,September,Saturday
250,SCALLOPED HAMMERHEAD,17/1/2016,Rainbow Beach,Rainbow Beach,-25°53.77,153°5.78,2.2,26,January,Sunday
251,SCALLOPED HAMMERHEAD,30/1/2016,Gold Coast,Mermaid Beach,-28°2.23,153°26.44,2.39,24,January,Saturday
252,SCALLOPED HAMMERHEAD,3/4/2016,Mackay,Bucasia Beach,-21°1.62,149°10.26,3.4,26,April,Sunday
253,SCALLOPED HAMMERHEAD,30/5/2016,Capricorn Coast,Fishermans Beach,-23°14.86,150°49.98,1.91,24,May,Monday
254,SCALLOPED HAMMERHEAD,6/6/2016,Mackay,Bucasia Beach,-21°1.62,149°10.26,2.6,25,June,Monday
255,SCALLOPED HAMMERHEAD,27/7/2016,Nth Stradbroke Is.,Ocean Beach,-27°27.29,153°32.36,1.8,20,July,Wednesday
256,SCALLOPED HAMMERHEAD,29/8/2016,Townsville,Horseshoe Bay,-19°6.22,146°51.57,0.52,23,August,Monday
257,SCALLOPED HAMMERHEAD,27/9/2016,Gold Coast,Kirra Beach,-28°9.3,153°32.02,1.4,20,September,Tuesday
258,SCALLOPED HAMMERHEAD,28/9/2016,Gold Coast,Coolangatta Beach,-28°9.31,153°32.16,1.5,20,September,Wednesday
259,SCALLOPED HAMMERHEAD,30/9/2016,Cairns,Clifton Beach,-16°45.62,145°40.97,1.63,26,September,Friday
260,SCALLOPED HAMMERHEAD,19/10/2016,Gold Coast,Mermaid Beach,-28°2.23,153°26.44,1.45,21,October,Wednesday
261,SCALLOPED HAMMERHEAD,19/10/2016,Gold Coast,Miami Beach,-28°4,153°27.04,1.6,21,October,Wednesday
262,SCALLOPED HAMMERHEAD,19/11/2016,Rainbow Beach,Rainbow Beach,-25°53.62,153°5.69,1.55,23,November,Saturday
263,SCALLOPED HAMMERHEAD,28/11/2016,Gold Coast,Bilinga Beach,-28°8.59,153°30.42,1.5,24,November,Monday
264,SCALLOPED HAMMERHEAD,28/11/2016,Gold Coast,Bilinga Beach,-28°8.59,153°30.42,1.36,24,November,Monday
265,SCALLOPED HAMMERHEAD,28/11/2016,Gold Coast,Currumbin Beach,-28°7.4,153°29.35,1.74,24,November,Monday
266,SHARPTOOTH SHARK,12/1/2016,Sunshine Coast South & Bribie Island,Alexandra Headland,-26°39.96,153°6.86,2.1,24,January,Tuesday
267,SHARPTOOTH SHARK,9/4/2016,Bundaberg,Kellys Beach,-24°49.71,152°28.24,1.59,25,April,Saturday
268,SHARPTOOTH SHARK,15/4/2016,Rainbow Beach,Rainbow Beach,-25°53.77,153°5.78,2.4,26,April,Friday
269,SHARPTOOTH SHARK,24/11/2016,Townsville,Nelly Bay,-19°10.05,146°51.21,2.35,28,November,Thursday
270,SHARPTOOTH SHARK,2/12/2016,Bundaberg,Bargara,-24°48.65,152°27.99,1.95,25,December,Friday
271,SLIT EYE SHARK,2/8/2016,Cairns,Ellis Beach,-16°43.21,145°38.85,0.7,23,August,Tuesday
272,SPOT-TAIL WHALER,2/1/2016,Townsville,Radical Bay,-19°6.49,146°52.59,0.85,29,January,Saturday
273,SPOT-TAIL WHALER,2/1/2016,Townsville,The Strand,-19°14.29,146°48.61,1.14,29,January,Saturday
274,SPOT-TAIL WHALER,5/1/2016,Townsville,Radical Bay,-19°6.45,146°52.51,1.09,29,January,Tuesday
275,SPOT-TAIL WHALER,5/1/2016,Townsville,The Strand,-19°14.29,146°48.61,1.12,29,January,Tuesday
276,SPOT-TAIL WHALER,16/1/2016,Townsville,Horseshoe Bay,-19°6.13,146°51.59,1.05,29,January,Saturday
277,SPOT-TAIL WHALER,13/2/2016,Townsville,Horseshoe Bay,-19°6.84,146°50.9,1.02,30,February,Saturday
278,SPOT-TAIL WHALER,24/2/2016,Bundaberg,Neilson Park,-24°48.4,152°27.91,1.01,26,February,Wednesday
279,SPOT-TAIL WHALER,28/4/2016,Townsville,Florence Bay,-19°7.44,146°53.11,1.1,26,April,Thursday
280,SPOT-TAIL WHALER,10/5/2016,Townsville,Alma Bay,-19°9.11,146°52.46,1.18,27,May,Tuesday
281,SPOT-TAIL WHALER,10/5/2016,Townsville,Pallarenda Beach,-19°11.98,146°46.66,1.05,27,May,Tuesday
282,SPOT-TAIL WHALER,4/6/2016,Townsville,Alma Bay,-19°8.92,146°52.41,1,25,June,Saturday
283,SPOT-TAIL WHALER,4/6/2016,Townsville,Picnic Bay,-19°10.97,146°50.67,1.18,25,June,Saturday
284,SPOT-TAIL WHALER,23/6/2016,Townsville,Pallarenda Beach,-19°11.98,146°46.66,0.88,24,June,Thursday
285,SPOT-TAIL WHALER,30/8/2016,Townsville,Pallarenda Beach,-19°11.98,146°46.66,1.06,23,August,Tuesday
286,SPOT-TAIL WHALER,5/9/2016,Townsville,Alma Bay,-19°9.06,146°52.45,0.75,24,September,Monday
287,SPOT-TAIL WHALER,22/9/2016,Capricorn Coast,Emu Park,-23°15.16,150°50.08,1.12,23,September,Thursday
288,SPOT-TAIL WHALER,22/9/2016,Capricorn Coast,Emu Park,-23°15.61,150°49.94,1.18,23,September,Thursday
289,SPOT-TAIL WHALER,22/9/2016,Capricorn Coast,Tanby Point,-23°13.78,150°49.48,1.05,23,September,Thursday
290,SPOT-TAIL WHALER,4/10/2016,Capricorn Coast,Emu Park,-23°15.77,150°49.89,1.22,24,October,Tuesday
291,SPOT-TAIL WHALER,19/10/2016,Townsville,Alma Bay,-19°9.11,146°52.46,1.05,27,October,Wednesday
292,SPOT-TAIL WHALER,16/11/2016,Cairns,Trinity Beach,-16°46.76,145°42.13,0.93,27,November,Wednesday
293,SPOT-TAIL WHALER,26/12/2016,Townsville,Florence Bay,-19°7.35,146°53.11,1.05,29,December,Monday
294,TAWNY SHARK,8/2/2016,Townsville,Horseshoe Bay,-19°6.88,146°51.01,2,31,February,Monday
295,TAWNY SHARK,18/2/2016,Townsville,The Strand,-19°14.21,146°48.53,2.6,32,February,Thursday
296,TAWNY SHARK,26/3/2016,Mackay,Harbour Beach,-21°7.2,149°13.65,2.3,27,March,Saturday
297,TAWNY SHARK,26/3/2016,Mackay,Lamberts Beach,-21°4.37,149°13.89,2.6,27,March,Saturday
298,TAWNY SHARK,26/3/2016,Townsville,Horseshoe Bay,-19°6.75,146°50.7,2.1,29,March,Saturday
299,TAWNY SHARK,1/4/2016,Cairns,Palm Cove,-16°44.65,145°40.51,2.1,29,April,Friday
300,TAWNY SHARK,6/4/2016,Townsville,Horseshoe Bay,-19°6.75,146°50.7,1.7,28,April,Wednesday
301,TAWNY SHARK,23/4/2016,Cairns,Palm Cove,-16°44.65,145°40.51,2.8,26,April,Saturday
302,TAWNY SHARK,30/4/2016,Townsville,Nelly Bay,-19°10.67,146°50.97,1.8,26,April,Saturday
303,TAWNY SHARK,23/5/2016,Townsville,Picnic Bay,-19°10.97,146°50.67,2.8,25,May,Monday
304,TAWNY SHARK,12/7/2016,Mackay,Harbour Beach,-21°7.05,149°13.69,2.2,24,July,Tuesday
305,TAWNY SHARK,30/7/2016,Townsville,Florence Bay,-19°7.44,146°53.11,2.34,23,July,Saturday
306,TAWNY SHARK,11/9/2016,Mackay,Harbour Beach,-21°7.08,149°13.62,2.5,24,September,Sunday
307,TAWNY SHARK,28/9/2016,Townsville,Horseshoe Bay,-19°6.93,146°51.25,2.3,27,September,Wednesday
308,TAWNY SHARK,3/10/2016,Capricorn Coast,Fishermans Beach,-23°14.86,150°49.98,2.23,24,October,Monday
309,TAWNY SHARK,9/11/2016,Mackay,Harbour Beach,-21°7.08,149°13.62,2.1,25,November,Wednesday
310,TAWNY SHARK,9/11/2016,Mackay,Harbour Beach,-21°7.08,149°13.62,2,25,November,Wednesday
311,TAWNY SHARK,15/11/2016,Cairns,Trinity Beach,-16°46.76,145°42.13,2.8,28,November,Tuesday
312,TAWNY SHARK,22/11/2016,Townsville,Picnic Bay,-19°10.97,146°50.67,2.5,28,November,Tuesday
313,TAWNY SHARK,13/12/2016,Townsville,Nelly Bay,-19°10.25,146°51.1,2.2,28,December,Tuesday
314,TAWNY SHARK,17/12/2016,Bundaberg,Neilson Park,-24°48.23,152°27.75,2.25,25,December,Saturday
315,TAWNY SHARK,25/12/2016,Mackay,Lamberts Beach,-21°4.27,149°13.87,3,27,December,Sunday
316,TAWNY SHARK,27/12/2016,Townsville,Picnic Bay,-19°10.97,146°50.67,1.8,30,December,Tuesday
317,TIGER SHARK,1/1/2016,Capricorn Coast,Yeppoon,-23°7.63,150°45.28,1.51,27,January,Friday
318,TIGER SHARK,3/1/2016,Gladstone,Tannum Sands,-23°56.49,151°22.49,2.75,26,January,Sunday
319,TIGER SHARK,7/1/2016,Bundaberg,Neilson Park,-24°48.16,152°27.67,1.97,25,January,Thursday
320,TIGER SHARK,9/1/2016,Cairns,Ellis Beach,-16°43.26,145°38.96,1.2,29,January,Saturday
321,TIGER SHARK,9/1/2016,Cairns,Trinity Beach,-16°46.76,145°42.13,1,29,January,Saturday
322,TIGER SHARK,9/1/2016,Cairns,Trinity Beach,-16°46.76,145°42.13,3.9,29,January,Saturday
323,TIGER SHARK,12/1/2016,Nth Stradbroke Is.,Cylinder Beach,-27°25.25,153°31.99,1.1,27,January,Tuesday
324,TIGER SHARK,13/1/2016,Cairns,Holloways Beach,-16°49.89,145°44.91,3.4,29,January,Wednesday
325,TIGER SHARK,14/1/2016,Mackay,Harbour Beach,-21°7.01,149°13.69,1.9,26,January,Thursday
326,TIGER SHARK,18/1/2016,Rainbow Beach,Rainbow Beach,-25°53.54,153°5.77,2.6,26,January,Monday
327,TIGER SHARK,22/1/2016,Gladstone,Tannum Sands,-23°56.68,151°22.67,3.85,27,January,Friday
328,TIGER SHARK,22/1/2016,Mackay,Harbour Beach,-21°7.32,149°13.63,1.6,26,January,Friday
329,TIGER SHARK,23/1/2016,Townsville,Horseshoe Bay,-19°6.26,146°51.56,1.85,30,January,Saturday
330,TIGER SHARK,24/1/2016,Mackay,Blacks Beach,-21°2.72,149°11.54,1.4,26,January,Sunday
331,TIGER SHARK,26/1/2016,Mackay,Harbour Beach,-21°7.28,149°13.56,3.2,27,January,Tuesday
332,TIGER SHARK,30/1/2016,Townsville,Florence Bay,-19°7.44,146°53.11,3.5,30,January,Saturday
333,TIGER SHARK,4/2/2016,Mackay,Harbour Beach,-21°7.1,149°13.68,2.4,27,February,Thursday
334,TIGER SHARK,4/2/2016,Mackay,Harbour Beach,-21°7.28,149°13.56,2.5,27,February,Thursday
335,TIGER SHARK,5/2/2016,Townsville,Florence Bay,-19°7.3,146°53.12,3.8,31,February,Friday
336,TIGER SHARK,6/2/2016,Gold Coast,Broadbeach,-28°1.09,153°26.23,2.31,25,February,Saturday
337,TIGER SHARK,6/2/2016,Townsville,Florence Bay,-19°7.5,146°53.11,3.7,31,February,Saturday
338,TIGER SHARK,8/2/2016,Townsville,Horseshoe Bay,-19°6.22,146°51.57,1.8,31,February,Monday
339,TIGER SHARK,9/2/2016,Capricorn Coast,Emu Park,-23°15.69,150°49.91,2.1,27,February,Tuesday
340,TIGER SHARK,11/2/2016,Bundaberg,Neilson Park,-24°48.49,152°27.94,3.12,27,February,Thursday
341,TIGER SHARK,12/2/2016,Gold Coast,Rainbow Bay,-28°9.3,153°32.31,3.15,26,February,Friday
342,TIGER SHARK,14/2/2016,Rainbow Beach,Rainbow Beach,-25°53.76,153°5.96,2.35,25,February,Sunday
343,TIGER SHARK,15/2/2016,Townsville,Nelly Bay,-19°10.52,146°50.97,2.25,31,February,Monday
344,TIGER SHARK,17/2/2016,Mackay,Lamberts Beach,-21°4.32,149°13.89,2.4,27,February,Wednesday
345,TIGER SHARK,18/2/2016,Capricorn Coast,Emu Park,-23°15.16,150°50.08,3.8,27,February,Thursday
346,TIGER SHARK,21/2/2016,Rainbow Beach,Rainbow Beach,-25°53.77,153°5.78,1.85,25,February,Sunday
347,TIGER SHARK,25/2/2016,Rainbow Beach,Rainbow Beach,-25°53.71,153°5.94,3.3,25,February,Thursday
348,TIGER SHARK,27/2/2016,Mackay,Harbour Beach,-21°7.25,149°13.65,2.1,27,February,Saturday
349,TIGER SHARK,27/2/2016,Townsville,Florence Bay,-19°7.35,146°53.11,1.7,30,February,Saturday
350,TIGER SHARK,28/2/2016,Bundaberg,Neilson Park,-24°48.09,152°27.59,3.5,26,February,Sunday
351,TIGER SHARK,29/2/2016,Townsville,Pallarenda Beach,-19°11.98,146°46.66,1.4,30,February,Monday
352,TIGER SHARK,2/3/2016,Townsville,Pallarenda Beach,-19°11.92,146°46.65,1.35,30,March,Wednesday
353,TIGER SHARK,7/3/2016,Townsville,Horseshoe Bay,-19°6.26,146°51.56,2.1,30,March,Monday
354,TIGER SHARK,15/3/2016,Gold Coast,Broadbeach,-28°1.09,153°26.23,3.65,27,March,Tuesday
355,TIGER SHARK,16/3/2016,Sunshine Coast North,Peregian Beach,-26°28.95,153°6.2,0.9,24,March,Wednesday
356,TIGER SHARK,18/3/2016,Cairns,Clifton Beach,-16°45.58,145°40.93,1.8,29,March,Friday
357,TIGER SHARK,19/3/2016,Bundaberg,Neilson Park,-24°48.23,152°27.75,2.5,26,March,Saturday
358,TIGER SHARK,19/3/2016,Mackay,Lamberts Beach,-21°4.32,149°13.89,2.3,27,March,Saturday
359,TIGER SHARK,21/3/2016,Cairns,Holloways Beach,-16°49.82,145°44.85,3.1,29,March,Monday
360,TIGER SHARK,21/3/2016,Mackay,Harbour Beach,-21°7.05,149°13.69,2.2,27,March,Monday
361,TIGER SHARK,21/3/2016,Mackay,Harbour Beach,-21°7.16,149°13.66,3.4,27,March,Monday
362,TIGER SHARK,21/3/2016,Mackay,Lamberts Beach,-21°4.27,149°13.87,2.1,27,March,Monday
363,TIGER SHARK,21/3/2016,Rainbow Beach,Rainbow Beach,-25°53.53,153°5.79,1.4,27,March,Monday
364,TIGER SHARK,22/3/2016,Bundaberg,Kellys Beach,-24°49.11,152°28.3,3.57,25,March,Tuesday
365,TIGER SHARK,22/3/2016,Bundaberg,Neilson Park,-24°48.32,152°27.82,3.08,25,March,Tuesday
366,TIGER SHARK,22/3/2016,Rainbow Beach,Rainbow Beach,-25°53.56,153°5.69,1.4,27,March,Tuesday
367,TIGER SHARK,25/3/2016,Bundaberg,Kellys Beach,-24°49.47,152°28.31,2,25,March,Friday
368,TIGER SHARK,25/3/2016,Rainbow Beach,Rainbow Beach,-25°53.56,153°5.69,3.95,27,March,Friday
369,TIGER SHARK,26/3/2016,Mackay,Harbour Beach,-21°7.14,149°13.66,2.8,27,March,Saturday
370,TIGER SHARK,26/3/2016,Townsville,Horseshoe Bay,-19°6.18,146°51.58,1.4,29,March,Saturday
371,TIGER SHARK,27/3/2016,Cairns,Ellis Beach,-16°43.26,145°38.96,2.2,29,March,Sunday
372,TIGER SHARK,28/3/2016,Townsville,Horseshoe Bay,-19°6.22,146°51.57,1.85,29,March,Monday
373,TIGER SHARK,28/3/2016,Townsville,Nelly Bay,-19°10.05,146°51.21,3.7,29,March,Monday
374,TIGER SHARK,31/3/2016,Mackay,Harbour Beach,-21°7.39,149°13.61,2,27,March,Thursday
375,TIGER SHARK,1/4/2016,Mackay,Harbour Beach,-21°7.14,149°13.66,2.6,26,April,Friday
376,TIGER SHARK,1/4/2016,Mackay,Harbour Beach,-21°7.05,149°13.69,3.4,26,April,Friday
377,TIGER SHARK,2/4/2016,Cairns,Holloways Beach,-16°49.82,145°44.85,0.7,29,April,Saturday
378,TIGER SHARK,5/4/2016,Cairns,Holloways Beach,-16°49.89,145°44.91,1.7,27,April,Tuesday
379,TIGER SHARK,6/4/2016,Townsville,Nelly Bay,-19°10.61,146°50.92,2,28,April,Wednesday
380,TIGER SHARK,7/4/2016,Gladstone,Tannum Sands,-23°56.82,151°22.78,3.35,27,April,Thursday
381,TIGER SHARK,9/4/2016,Cairns,Ellis Beach,-16°43.36,145°39.08,2.9,27,April,Saturday
382,TIGER SHARK,12/4/2016,Gladstone,Tannum Sands,-23°57.03,151°23.04,2.6,26,April,Tuesday
383,TIGER SHARK,12/4/2016,Gladstone,Tannum Sands,-23°56.62,151°22.58,3.7,26,April,Tuesday
384,TIGER SHARK,13/4/2016,Townsville,Horseshoe Bay,-19°6.13,146°51.59,1.5,29,April,Wednesday
385,TIGER SHARK,13/4/2016,Townsville,Horseshoe Bay,-19°6.13,146°51.59,3.5,29,April,Wednesday
386,TIGER SHARK,18/4/2016,Townsville,Pallarenda Beach,-19°11.98,146°46.66,3.6,27,April,Monday
387,TIGER SHARK,22/4/2016,Mackay,Lamberts Beach,-21°4.32,149°13.89,2.1,26,April,Friday
388,TIGER SHARK,23/4/2016,Bundaberg,Neilson Park,-24°48.32,152°27.82,1.6,23,April,Saturday
389,TIGER SHARK,23/4/2016,Rainbow Beach,Rainbow Beach,-25°53.52,153°5.82,2.3,25,April,Saturday
390,TIGER SHARK,25/4/2016,Bundaberg,Neilson Park,-24°48.32,152°27.82,2.7,23,April,Monday
391,TIGER SHARK,30/4/2016,Mackay,Lamberts Beach,-21°4.41,149°13.9,1.7,26,April,Saturday
392,TIGER SHARK,2/5/2016,Mackay,Lamberts Beach,-21°4.37,149°13.89,2,25,May,Monday
393,TIGER SHARK,2/5/2016,Sunshine Coast South & Bribie Island,Buddina Beach,-26°42.21,153°8.38,1,24,May,Monday
394,TIGER SHARK,5/5/2016,Mackay,Blacks Beach,-21°2.76,149°11.55,1.8,25,May,Thursday
395,TIGER SHARK,5/5/2016,Mackay,Lamberts Beach,-21°4.32,149°13.89,2,25,May,Thursday
396,TIGER SHARK,7/5/2016,Mackay,Lamberts Beach,-21°4.37,149°13.89,2,25,May,Saturday
397,TIGER SHARK,10/5/2016,Bundaberg,Kellys Beach,-24°48.19,152°28.32,3.16,24,May,Tuesday
398,TIGER SHARK,10/5/2016,Bundaberg,Neilson Park,-24°48.4,152°27.91,2.7,24,May,Tuesday
399,TIGER SHARK,10/5/2016,Mackay,Bucasia Beach,-21°1.46,149°9.97,3.8,25,May,Tuesday
400,TIGER SHARK,10/5/2016,Mackay,Harbour Beach,-21°7.32,149°13.63,2.4,25,May,Tuesday
401,TIGER SHARK,11/5/2016,Cairns,Buchans Point Beach,-16°43.56,145°39.78,1.4,27,May,Wednesday
402,TIGER SHARK,13/5/2016,Bundaberg,Kellys Beach,-24°49.11,152°28.3,3.37,23,May,Friday
403,TIGER SHARK,14/5/2016,Rainbow Beach,Rainbow Beach,-25°53.77,153°5.78,1.7,24,May,Saturday
404,TIGER SHARK,15/5/2016,Bundaberg,Kellys Beach,-24°49.33,152°28.33,2.03,23,May,Sunday
405,TIGER SHARK,15/5/2016,Capricorn Coast,Farnborough Beach,-23°6.82,150°45.26,3.12,25,May,Sunday
406,TIGER SHARK,19/5/2016,Townsville,Radical Bay,-19°6.45,146°52.51,2.45,26,May,Thursday
407,TIGER SHARK,20/5/2016,Cairns,Ellis Beach,-16°43.21,145°38.85,2.1,25,May,Friday
408,TIGER SHARK,21/5/2016,Cairns,Buchans Point Beach,-16°43.56,145°39.78,2.1,25,May,Saturday
409,TIGER SHARK,21/5/2016,Townsville,Pallarenda Beach,-19°11.85,146°46.64,3.65,26,May,Saturday
410,TIGER SHARK,22/5/2016,Bundaberg,Neilson Park,-24°48.32,152°27.82,1.13,23,May,Sunday
411,TIGER SHARK,25/5/2016,Bundaberg,Kellys Beach,-24°49.47,152°28.31,2.15,22,May,Wednesday
412,TIGER SHARK,28/5/2016,Sunshine Coast North,Noosa,-26°22.23,153°6.49,2.01,23,May,Saturday
413,TIGER SHARK,28/5/2016,Sunshine Coast North,Sunshine Beach,-26°24.31,153°7.06,1.02,23,May,Saturday
414,TIGER SHARK,28/5/2016,Townsville,Alma Bay,-19°8.85,146°52.42,1.3,26,May,Saturday
415,TIGER SHARK,29/5/2016,Bundaberg,Kellys Beach,-24°49.55,152°28.29,4.09,22,May,Sunday
416,TIGER SHARK,30/5/2016,Mackay,Harbour Beach,-21°7.14,149°13.66,3,25,May,Monday
417,TIGER SHARK,30/5/2016,Mackay,Harbour Beach,-21°7.2,149°13.65,2.4,25,May,Monday
418,TIGER SHARK,30/5/2016,Mackay,Lamberts Beach,-21°4.32,149°13.89,2.5,25,May,Monday
419,TIGER SHARK,30/5/2016,Townsville,Horseshoe Bay,-19°6.26,146°51.56,1.3,26,May,Monday
420,TIGER SHARK,1/6/2016,Gladstone,Tannum Sands,-23°56.55,151°22.54,1.6,24,June,Wednesday
421,TIGER SHARK,3/6/2016,Gold Coast,Rainbow Bay,-28°9.31,153°32.51,1.78,23,June,Friday
422,TIGER SHARK,4/6/2016,Townsville,Florence Bay,-19°7.3,146°53.12,0.89,25,June,Saturday
423,TIGER SHARK,5/6/2016,Mackay,Bucasia Beach,-21°1.15,149°9.63,2,25,June,Sunday
424,TIGER SHARK,8/6/2016,Townsville,Alma Bay,-19°9.11,146°52.46,1.05,25,June,Wednesday
425,TIGER SHARK,8/6/2016,Townsville,Horseshoe Bay,-19°6.13,146°51.59,2,25,June,Wednesday
426,TIGER SHARK,12/6/2016,Bundaberg,Kellys Beach,-24°49.4,152°28.32,1.95,21,June,Sunday
427,TIGER SHARK,16/6/2016,Townsville,Alma Bay,-19°9.02,146°52.43,3.8,24,June,Thursday
428,TIGER SHARK,16/6/2016,Townsville,Radical Bay,-19°6.45,146°52.51,3.1,24,June,Thursday
429,TIGER SHARK,18/6/2016,Cairns,Ellis Beach,-16°43.21,145°38.85,4.1,25,June,Saturday
430,TIGER SHARK,2/7/2016,Rainbow Beach,Rainbow Beach,-25°53.52,153°5.82,2.9,21,July,Saturday
431,TIGER SHARK,3/7/2016,Mackay,Lamberts Beach,-21°4.27,149°13.87,1.9,24,July,Sunday
432,TIGER SHARK,4/7/2016,Capricorn Coast,Emu Park,-23°15.61,150°49.94,2.08,21,July,Monday
433,TIGER SHARK,5/7/2016,Mackay,Eimeo Beach,-21°1.86,149°10.98,2.4,24,July,Tuesday
434,TIGER SHARK,8/7/2016,Bundaberg,Kellys Beach,-24°48.19,152°28.32,1.48,18,July,Friday
435,TIGER SHARK,14/7/2016,Rainbow Beach,Rainbow Beach,-25°53.52,153°5.82,2.35,20,July,Thursday
436,TIGER SHARK,16/7/2016,Townsville,Radical Bay,-19°6.45,146°52.51,4,22,July,Saturday
437,TIGER SHARK,18/7/2016,Townsville,Nelly Bay,-19°10.36,146°51.05,1.95,22,July,Monday
438,TIGER SHARK,20/7/2016,Cairns,Ellis Beach,-16°43.26,145°38.96,2.7,23,July,Wednesday
439,TIGER SHARK,22/7/2016,Mackay,Eimeo Beach,-21°1.8,149°10.76,2.01,24,July,Friday
440,TIGER SHARK,23/7/2016,Bundaberg,Kellys Beach,-24°49.25,152°28.33,1.41,17,July,Saturday
441,TIGER SHARK,24/7/2016,Mackay,Harbour Beach,-21°7.16,149°13.66,3.6,24,July,Sunday
442,TIGER SHARK,27/7/2016,Townsville,Radical Bay,-19°6.51,146°52.63,3.2,24,July,Wednesday
443,TIGER SHARK,28/7/2016,Bundaberg,Kellys Beach,-24°49.62,152°28.26,2.32,17,July,Thursday
444,TIGER SHARK,30/7/2016,Mackay,Harbour Beach,-21°7.2,149°13.65,2.4,24,July,Saturday
445,TIGER SHARK,30/7/2016,Rainbow Beach,Rainbow Beach,-25°53.54,153°5.77,2.6,21,July,Saturday
446,TIGER SHARK,1/8/2016,Bundaberg,Kellys Beach,-24°49.25,152°28.33,1.95,17,August,Monday
447,TIGER SHARK,2/8/2016,Mackay,Bucasia Beach,-21°1.38,149°9.73,2.3,24,August,Tuesday
448,TIGER SHARK,3/8/2016,Rainbow Beach,Rainbow Beach,-25°53.53,153°5.79,3.85,20,August,Wednesday
449,TIGER SHARK,7/8/2016,Cairns,Ellis Beach,-16°43.21,145°38.85,1.4,23,August,Sunday
450,TIGER SHARK,7/8/2016,Cairns,Trinity Beach,-16°46.5,145°41.97,2.4,23,August,Sunday
451,TIGER SHARK,9/8/2016,Cairns,Ellis Beach,-16°43.21,145°38.85,1.24,22,August,Tuesday
452,TIGER SHARK,9/8/2016,Mackay,Blacks Beach,-21°2.69,149°11.52,2.2,24,August,Tuesday
453,TIGER SHARK,10/8/2016,Bundaberg,Kellys Beach,-24°49.4,152°28.32,1.28,17,August,Wednesday
454,TIGER SHARK,10/8/2016,Mackay,Harbour Beach,-21°7.08,149°13.62,3.2,24,August,Wednesday
