,Species Name,Date,Area,Location,Latitude,Longitude,Length (m),Water Temp (C),Month,Day of Week
53,BULL WHALER,13/3/2016,Capricorn Coast,Tanby Point,-23°13.7,150°49.45,0.87,26,March,Sunday
54,BULL WHALER,14/3/2016,Capricorn Coast,Emu Park,-23°15.69,150°49.91,0.78,26,March,Monday
55,BULL WHALER,14/3/2016,Capricorn Coast,Kemp Beach,-23°10.23,150°47.69,1.21,26,March,Monday
56,BULL WHALER,23/3/2016,Capricorn Coast,Mulambin Beach,-23°11.3,150°47.92,1.05,27,March,Wednesday
57,BULL WHALER,25/3/2016,Cairns,Holloways Beach,-16°49.89,145°44.91,2.5,29,March,Friday
58,BULL WHALER,1/4/2016,Nth Stradbroke Is.,Ocean Beach,-27°27.2,153°32.41,2.1,26,April,Friday
59,BULL WHALER,8/4/2016,Sunshine Coast North,Marcoola Beach,-26°34.94,153°6.15,2.13,24,April,Friday
60,BULL WHALER,11/4/2016,Capricorn Coast,Fishermans Beach,-23°14.57,150°49.68,1.25,26,April,Monday
61,BULL WHALER,18/4/2016,Townsville,Horseshoe Bay,-19°6.22,146°51.57,2.65,27,April,Monday
62,BULL WHALER,28/4/2016,Townsville,Florence Bay,-19°7.39,146°53.11,1.9,26,April,Thursday
63,BULL WHALER,28/4/2016,Townsville,The Strand,-19°14.29,146°48.61,1.5,26,April,Thursday
64,BULL WHALER,30/4/2016,Gold Coast,Rainbow Bay,-28°9.49,153°32.51,1.6,24,April,Saturday
65,BULL WHALER,2/5/2016,Capricorn Coast,Emu Park,-23°15.69,150°49.91,0.72,27,May,Monday
66,BULL WHALER,3/5/2016,Capricorn Coast,Fishermans Beach,-23°14.57,150°49.68,0.84,26,May,Tuesday
67,BULL WHALER,6/5/2016,Gladstone,Tannum Sands,-23°56.98,151°22.96,1.85,25,May,Friday
68,BULL WHALER,7/5/2016,Bundaberg,Neilson Park,-24°48.49,152°27.94,1.8,24,May,Saturday
69,BULL WHALER,7/5/2016,Capricorn Coast,Fishermans Beach,-23°14.86,150°49.98,1.12,24,May,Saturday
70,BULL WHALER,7/5/2016,Capricorn Coast,Tanby Point,-23°13.7,150°49.45,1.43,25,May,Saturday
71,BULL WHALER,10/5/2016,Mackay,Harbour Beach,-21°7.05,149°13.69,1.9,25,May,Tuesday
72,BULL WHALER,23/5/2016,Capricorn Coast,Fishermans Beach,-23°14.62,150°49.68,0.93,24,May,Monday
73,BULL WHALER,23/5/2016,Gladstone,Tannum Sands,-23°56.91,151°22.9,1.55,24,May,Monday
74,BULL WHALER,28/5/2016,Sunshine Coast North,Sunrise Beach,-26°25.1,153°6.97,1.45,23,May,Saturday
75,BULL WHALER,3/6/2016,Gold Coast,Tallebudgera Beach,-28°5.47,153°28.26,1.77,22,June,Friday
76,BULL WHALER,4/6/2016,Capricorn Coast,Farnborough Beach,-23°7.14,150°45.22,0.84,24,June,Saturday
77,BULL WHALER,4/6/2016,Capricorn Coast,Tanby Point,-23°13.87,150°49.51,0.78,24,June,Saturday
78,BULL WHALER,8/6/2016,Sunshine Coast North,Maroochydore Beach,-26°39.27,153°6.66,1.52,23,June,Wednesday
79,BULL WHALER,11/6/2016,Gold Coast,Bilinga Beach,-28°8.59,153°30.42,1.83,21,June,Saturday
80,BULL WHALER,11/6/2016,Sunshine Coast North,Noosa,-26°22.91,153°5.56,1.42,23,June,Saturday
81,BULL WHALER,11/6/2016,Sunshine Coast North,Noosa,-26°22.91,153°5.56,1.55,23,June,Saturday
82,BULL WHALER,17/6/2016,Capricorn Coast,Fishermans Beach,-23°14.67,150°49.69,0.89,22,June,Friday
83,BULL WHALER,20/6/2016,Townsville,Horseshoe Bay,-19°6.22,146°51.57,1.09,24,June,Monday
84,BULL WHALER,21/6/2016,Sunshine Coast North,Maroochydore Beach,-26°39.27,153°6.66,1.56,23,June,Tuesday
85,BULL WHALER,27/6/2016,Bundaberg,Neilson Park,-24°48.4,152°27.91,1.64,20,June,Monday
86,BULL WHALER,30/6/2016,Sunshine Coast South & Bribie Island,Caloundra,-26°48.55,153°8.73,1.45,22,June,Thursday
87,BULL WHALER,9/7/2016,Gladstone,Tannum Sands,-23°56.22,151°22.46,1.1,18,July,Saturday
88,BULL WHALER,11/7/2016,Gold Coast,Miami Beach,-28°4,153°27.04,1.88,20,July,Monday
89,BULL WHALER,27/7/2016,Gladstone,Tannum Sands,-23°56.62,151°22.58,1.2,19,July,Wednesday
90,BULL WHALER,2/8/2016,Gladstone,Tannum Sands,-23°56.49,151°22.49,0.9,20,August,Tuesday
91,BULL WHALER,2/8/2016,Townsville,Radical Bay,-19°6.51,146°52.63,2,20,August,Tuesday
92,BULL WHALER,10/8/2016,Bundaberg,Neilson Park,-24°48.23,152°27.75,1.73,17,August,Wednesday
93,BULL WHALER,11/8/2016,Gold Coast,Surfers Paradise Beach,-28°0.09,153°26.16,1.7,20,August,Thursday
94,BULL WHALER,12/8/2016,Gladstone,Tannum Sands,-23°56.55,151°22.54,1.6,20,August,Friday
95,BULL WHALER,18/8/2016,Townsville,Nelly Bay,-19°10.52,146°50.97,1.35,23,August,Thursday
96,BULL WHALER,24/8/2016,Rainbow Beach,Rainbow Beach,-25°53.62,153°5.69,2.08,21,August,Wednesday
97,BULL WHALER,25/8/2016,Townsville,Horseshoe Bay,-19°6.26,146°51.56,2.8,23,August,Thursday
98,BULL WHALER,20/9/2016,Bundaberg,Neilson Park,-24°48.32,152°27.82,1.6,21,September,Tuesday
99,BULL WHALER,4/10/2016,Bundaberg,Neilson Park,-24°48.49,152°27.94,1.68,22,October,Tuesday
100,BULL WHALER,17/10/2016,Capricorn Coast,Tanby Point,-23°14.5,150°49.67,0.84,23,October,Monday
101,BULL WHALER,19/10/2016,Townsville,Horseshoe Bay,-19°6.22,146°51.57,2.1,27,October,Wednesday
102,BULL WHALER,26/10/2016,Gladstone,Tannum Sands,-23°56.62,151°22.58,2,24,October,Wednesday
103,BULL WHALER,28/10/2016,Rainbow Beach,Rainbow Beach,-25°53.77,153°5.78,2.25,23,October,Friday
104,BULL WHALER,6/11/2016,Gladstone,Tannum Sands,-23°56.62,151°22.58,1.2,25,November,Sunday
105,BULL WHALER,12/11/2016,Gladstone,Tannum Sands,-23°56.71,151°22.72,1.97,27,November,Saturday
106,BULL WHALER,25/11/2016,Capricorn Coast,Emu Park,-23°15.69,150°49.91,1.1,26,November,Friday
107,BULL WHALER,30/11/2016,Townsville,The Strand,-19°14.7,146°49.04,1.3,29,November,Wednesday
108,BULL WHALER,8/12/2016,Gold Coast,Currumbin Beach,-28°7.4,153°29.35,2.56,20,December,Thursday
109,BULL WHALER,8/12/2016,Sunshine Coast North,Noosa,-26°22.91,153°5.56,2.61,23,December,Thursday
110,BULL WHALER,23/12/2016,Townsville,Pallarenda Beach,-19°11.98,146°46.66,1.5,30,December,Friday
